species,trait
Phrygilus_fruticeti,3.658420247
Phrygilus_gayi,3.24220165
Phrygilus_patagonicus,3.117949906
Phrygilus_plebejus,2.686486023
Phrygilus_punensis,3.616308761
Phrygilus_unicolor,3.086486637
Piezorina_cinerea,3.470723444
Pinaroloxias_inornata,2.57261223
Pipraeidea_bonariensis,3.583518938
Pipraeidea_melanonota,3.044522438
Platyspiza_crassirostris,3.569532696
Poospiza_alticola,3.354105774
Poospiza_boliviana,3.354105774
Poospiza_cabanisi,2.954910279
Poospiza_caesar,3.9355442
Poospiza_cinerea,2.451005098
Poospiza_erythrophrys,2.646174797
Poospiza_hispaniolensis,2.803360381
Poospiza_hypochondria,3.054001182
Poospiza_melanoleuca,2.57261223
Poospiza_nigrorufa,2.856470206
Poospiza_ornata,2.468099531
Poospiza_rubecula,3.470723444
Poospiza_thoracica,2.4765384
Poospiza_torquata,2.397895273
Poospiza_whitii,2.833213344
Porphyrospiza_caerulescens,2.257587727
Pyrrhocoma_ruficeps,2.747270914
Ramphocelus_bresilius,3.493472658
Ramphocelus_carbo,3.255014871
Ramphocelus_costaricensis,3.442019376
Ramphocelus_dimidiatus,3.33220451
Ramphocelus_flammigerus,3.496507561
Ramphocelus_melanogaster,3.218875825
Ramphocelus_nigrogularis,3.433987204
Ramphocelus_passerinii,3.465735903
Ramphocelus_sanguinolentus,3.713572067
Rhodospingus_cruentus,2.451005098
Rowettia_goughensis,3.831029846
Saltator_albicollis,3.721588629
Saltator_atriceps,4.428313669
Saltator_atricollis,3.985273467
Saltator_atripennis,4.007333185
Saltator_aurantiirostris,3.735047135
Saltator_cinctus,3.883623531
Saltator_coerulescens,4.005513349
Saltator_fuliginosus,3.921973336
Saltator_grossus,3.788724789
Saltator_maxillosus,3.927896355
Saltator_maximus,3.863252841
Saltator_nigriceps,3.921973336
Saltator_orenocensis,3.517497837
Saltator_rufiventris,4.046029285
Saltator_similis,3.768152635
Saltator_striatipectus,3.663561646
Saltatricula_multicolor,3.100092289
Schistochlamys_melanopis,3.496507561
Schistochlamys_ruficapillus,3.440418095
Sericossypha_albocristata,4.736198448
Sicalis_auriventris,4.007333185
Sicalis_citrina,2.451005098
Sicalis_columbiana,2.595254707
Sicalis_flaveola,2.826721731
Sicalis_lebruni,3.230804396
Sicalis_lutea,2.676215478
Sicalis_luteocephala,2.788092909
Sicalis_luteola,2.766319109
Sicalis_olivascens,3.08190997
Sicalis_raimondii,2.76000994
Sicalis_taczanowskii,2.07819076
Sicalis_uropygialis,3.113515309
Sporophila_albogularis,2.272125886
Sporophila_caerulescens,2.275213896
Sporophila_castaneiventris,2.054123734
Sporophila_cinnamomea,2.186051277
Sporophila_collaris,2.60194867
Sporophila_corvina,2.362739016
Sporophila_falcirostris,2.376764491
Sporophila_frontalis,2.376764491
Sporophila_hypochroma,2.272125886
Sporophila_hypoxantha,2.251291799
Sporophila_intermedia,2.493205453
Sporophila_leucoptera,2.740840024
Sporophila_lineola,2.282382386
Sporophila_luctuosa,2.525728644
Sporophila_melanogaster,2.2300144
Sporophila_minuta,2.054123734
Sporophila_nigricollis,2.261763098
Sporophila_palustris,2.105352923
Sporophila_peruviana,2.533696814
Sporophila_pileata,2.151762203
Sporophila_plumbea,2.272125886
Sporophila_ruficollis,2.151762203
Sporophila_schistacea,2.541601993
Sporophila_simplex,3.33220451
Sporophila_telasco,2.261763098
Sporophila_torqueola,2.163323026
Stephanophorus_diadematus,3.56671182
Tachyphonus_coronatus,3.377587516
Tachyphonus_cristatus,2.93385687
Tachyphonus_delatrii,2.890371758
Tachyphonus_luctuosus,2.564949357
Tachyphonus_phoenicius,3.044522438
Tachyphonus_rufiventer,2.944438979
Tachyphonus_rufus,3.538056564
Tachyphonus_surinamus,2.944438979
Tangara_argyrofenges,2.944438979
Tangara_arthus,3.091042453
Tangara_callophrys,3.131136911
Tangara_cayana,2.890371758
Tangara_chilensis,2.984165637
Tangara_chrysotis,3.17805383
Tangara_cucullata,3.328626689
Tangara_cyanicollis,2.833213344
Tangara_cyanocephala,2.890371758
Tangara_cyanoptera,3.069447311
Tangara_cyanotis,2.708050201
Tangara_cyanoventris,2.803360381
Tangara_desmaresti,3.015534901
Tangara_dowii,2.995732274
Tangara_fastuosa,2.996731774
Tangara_florida,2.960105096
Tangara_fucosa,3.044522438
Tangara_guttata,2.912350665
Tangara_gyrola,3.044522438
Tangara_heinei,3.005682604
Tangara_icterocephala,3.091042453
Tangara_inornata,2.890371758
Tangara_johannae,2.996731774
Tangara_labradorides,2.708050201
Tangara_larvata,2.995732274
Tangara_lavinia,3.17805383
Tangara_mexicana,3.020424886
Tangara_meyerdeschauenseei,3.258096538
Tangara_nigrocincta,2.833213344
Tangara_nigroviridis,2.833213344
Tangara_palmeri,3.47506723
Tangara_parzudakii,3.33220451
Tangara_phillipsi,2.990719732
Tangara_preciosa,3.126760536
Tangara_punctata,2.708050201
