species,trait
Alle_alle,2.220631019
Pinguinus_impennis,3.698970004
Alca_torda,2.867879783
Uria_lomvia,2.989227274
Uria_aalge,2.968856375
Cepphus_grylle,2.634779458
Cepphus_columba,2.684665864
Brachyramphus_marmoratus,2.370142847
Brachyramphus_brevirostris,2.374748346
Synthliboramphus_hypoleucus,2.192846115
Synthliboramphus_craveri,2.179264464
Synthliboramphus_antiquus,2.368286885
Ptychoramphus_aleuticus,2.237040791
Aethia_psittacula,2.501880494
Aethia_cristatella,2.454082271
Aethia_pusilla,1.936010796
Aethia_pygmaea,2.071882007
Cerorhinca_monocerata,2.756636108
Fratercula_arctica,2.707570176
Fratercula_corniculata,2.811105607
Fratercula_cirrhata,2.923347656
