species,trait
Lepomis_gibbosus,-0.34683343502311015
Lepomis_microlophus,-0.3605365354350907
Lepomis_punctatus,-0.25442179535111475
Lepomis_miniatus,-0.31376903622396735
Lepomis_auritus,-0.5406788480579681
Lepomis_marginatus,-0.4471232561583405
Lepomis_megalotis,-0.17919837411352724
Lepomis_humilis,0.015290715663835996
Lepomis_macrochirus,-0.45584671523941567
Lepomis_gulosus,0.2664655745422193
Lepomis_symmetricus,0.001422582128813188
Lepomis_cyanellus,-0.032676350406432686
Micropterus_coosae,0.07593156786628086
Micropterus_notius,0.20060193435544127
Micropterus_treculi,0.09697312898504107
Micropterus_salmoides,0.10797025024283302
Micropterus_floridanus,0.19476899081270238
Micropterus_punctulatus,0.18352502747492982
Micropterus_dolomieu,0.05506783995463094
Centrarchus_macropterus,-0.021038860847440333
Enneacanthus_obesus,0.010463975695860217
Pomoxis_annularis,-0.039448849032729605
Pomoxis_nigromaculatus,0.21968981964918433
Archoplites_interruptus,-0.07308450243039832
Ambloplites_ariommus,0.2719239999290126
Ambloplites_rupestris,0.15666914458043202
Ambloplites_cavifrons,0.2714240123048839
